Movie_N,Genre,Review,Stars
The Old Guard,"['Action', 'Adventure', 'Fantasy', 'Thriller']","Love the concept, execution is not bad (there are some cringy & forced parts), but the music really annoys me. Doesn't fit the tone of the film at all.",7
The Old Guard,"['Action', 'Adventure', 'Fantasy', 'Thriller']","There were just so many clichés, cringe, and naive moments. The dialogue was also simple. The music was not all that good. The antagonist had a cartoonish evil character.",5
The Old Guard,"['Action', 'Adventure', 'Fantasy', 'Thriller']","The actors are all good. Well that's it. The story is childlike, the direction dull and the development highly predictable. The goodies, the baddies and the double crosser. All fluffed up with fight scenes, explosions and gunfire. The action is probably the only realistic thing, even if it is plastered all over the place for no good reason. The effects are all good and have grit.",5
The Old Guard,"['Action', 'Adventure', 'Fantasy', 'Thriller']",My mind kept referring back to Austin Powers. The baddie is that comical (but not in a funny way). The plot is childlike and felt very amateur. Take the prime star out and this is a B Roll movie that never gets watched.,9
The Old Guard,"['Action', 'Adventure', 'Fantasy', 'Thriller']",The London scenes at the end were just bizarre. Empty streets and then suddenly full with crowds and Police. Making no sense whatsoever. This quality of story telling is very poor considering who is in the film.,5
The Old Guard,"['Action', 'Adventure', 'Fantasy', 'Thriller']","Overall, a promising film that immediately failed to deliver anything other that a straight to VHS Sunday story. Lacking the story and direction to make it credible. Then the attempt to create a sequel... so ham fisted in its execution. It just finished on a cringe... not a masterpiece! So very disappointing...",5
The Old Guard,"['Action', 'Adventure', 'Fantasy', 'Thriller']","I didn't read the comic so I went in blind. I loved it. The story, the action, the fight scenes. Thoroughly enjoyed the movie. I hope they have a sequel or series.",3
The Old Guard,"['Action', 'Adventure', 'Fantasy', 'Thriller']","The beginning of movie is very interesting, but when approaching to mid section, the cliche comes around, all that forced drama, excess of sad dialogues forcing a dramatic life and blablabla, so lazy, almost gave up...The worst part is the ingenuity of characters that lived for like 200 years!! Makes no sense, a dude with 200 years old just make a decision of a boy with 15 years old. After all, the action scenes worth the Saturday night's movie. Oh almost forgot, the ""new member of team"" looks empty, we don't get that real felling of her, also doesn't act like a girl from army...like the story shows up!",5
The Old Guard,"['Action', 'Adventure', 'Fantasy', 'Thriller']","I really wanted to like this film. It's got a simple but fun premise and it's got Charlize Theron, who's a fantastic actress. But the film is just marred by plot holes, cliched characters, tacky dialogues and hands down the most inadequate music possible for this film.",8
The Old Guard,"['Action', 'Adventure', 'Fantasy', 'Thriller']",It's still a passable action film if you have absolutely nothing else to watch.,9
The Old Guard,"['Action', 'Adventure', 'Fantasy', 'Thriller']","Disappointing. Looks like a lazy film made for TV, aiming mostly at a teenage audience. Not even a scratch on Atomic Blonde and Mad Max, two others Charlize's action films, which are in a different league to this mediocrity.",5
The Old Guard,"['Action', 'Adventure', 'Fantasy', 'Thriller']",An intriguing concept that they don't do much with. Average action scenes but lots of blood. Feels like it could have done with another couple of drafts and some extra writers. Chief bad guy was overacting and a bit rubbish. My main fault was that it just looked cheap - more like a TV show than a big movie.,8
